City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
824,Kavaratti,IN,82.47,10.57,72.64,
825,De-Kastri,RU,60.84,51.47,140.78,
826,Truro,GB,60.8,50.27,-5.05,
828,Punta De Piedra,VE,81.01,7.62,-71.49,
832,Bandarbeyla,SO,76.39,9.49,50.81,
833,Nador,MA,82.4,35.17,-2.93,
834,Los Llanos De Aridane,ES,75.2,28.66,-17.92,
835,Cabedelo,BR,77.0,-6.98,-34.83,
838,Nalut,LY,83.16,30.33,10.85,
839,Dalbandin,PK,89.85,28.89,64.41,
840,Henties Bay,,72.0,-22.12,14.28,
842,Ugoofaaru,MV,83.39,5.67,73.0,
843,Jalu,LY,81.82,29.03,21.55,
844,Quatre Cocos,MU,69.8,-20.21,57.76,
846,Lagoa,PT,72.55,39.05,-27.98,
847,Monrovia,LR,77.0,6.3,-10.8,
851,Tamahu,GT,70.3,15.33,-90.17,
852,Salalah,OM,77.0,17.02,54.09,
853,Atherton,GB,60.01,53.52,-2.49,
857,Poya,NC,70.92,-21.35,165.15,
858,Gorontalo,ID,75.69,0.54,123.06,
859,Cayenne,GF,87.8,4.93,-52.33,
862,Hambantota,LK,78.8,6.12,81.12,
863,Bathsheba,BB,86.0,13.22,-59.52,
864,Shingu,JP,74.8,33.73,135.98,
865,Sao Filipe,CV,79.18,14.9,-24.5,
867,Soyo,AO,73.87,-6.13,12.37,
869,Jinchang,CN,60.62,38.5,102.17,
870,Broome,US,84.0,42.25,-75.83,
871,Cabo San Lucas,MX,89.6,22.89,-109.91,
872,Briceni,MD,64.99,48.36,27.7,
873,Palaikastron,GR,82.0,35.2,26.25,
874,Komsomolskiy,UZ,71.6,40.43,71.72,
875,Biak,ID,75.96,-0.91,122.88,
876,Zhezkazgan,KZ,60.06,47.8,67.71,
877,Acarau,BR,78.8,-2.89,-40.12,
878,Vao,NC,71.44,-22.67,167.48,
884,Kloulklubed,PW,75.2,7.04,134.26,
885,Tucuman,AR,69.8,-26.82,-65.22,
886,Tigzirt,DZ,75.72,36.89,4.12,
